City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
303,nova vicosa,-17.8919,-39.3719,298.44,66,6,4.01,BR,1691589108
304,soio,-6.1349,12.3689,297.83,72,16,5.49,AO,1691589108
305,liuhe,42.2401,125.7172,290.87,97,22,1.35,CN,1691589108
306,quthing,-30.4,27.7003,291.03,24,0,0.62,LS,1691589108
307,lake monticello,37.9232,-78.3347,298.96,73,1,2.21,US,1691589108
308,tandalti,13.0167,31.8667,307.65,35,29,0.74,SD,1691589109
309,imbituba,-28.24,-48.6703,290.29,95,100,6.02,BR,1691589109
310,albu kamal,34.45,40.9186,316.31,15,0,3.61,SY,1691589109
311,kuanda,56.3161,116.0806,293.75,57,87,2.75,RU,1691589109
312,suva,-18.1416,178.4415,295.86,94,75,1.54,FJ,1691589109
313,broome,42.2506,-75.833,296.42,70,0,4.12,US,1691589110
314,kavaratti,10.5669,72.642,301.25,77,100,7.43,IN,1691589110
315,puerto armuelles,8.2833,-82.8667,300.42,91,58,1.34,PA,1691589110
316,santa elena de uairen,4.6167,-61.1333,297.83,68,86,3.47,VE,1691589110
317,new norfolk,-42.7826,147.0587,285.33,61,100,3.01,AU,1691589110
318,mount pearl,47.5166,-52.7813,287.51,88,100,1.03,CA,1691589110
319,zheleznogorsk-ilimskiy,56.5768,104.1217,290.56,95,100,1.83,RU,1691589111
320,plastun,44.7561,136.2939,289.55,98,100,1.56,RU,1691589111
321,prainha,-1.8,-53.48,304.83,53,1,2.73,BR,1691589111
322,kiama,-34.6833,150.8667,287.36,72,74,0.89,AU,1691589111
323,north bend,43.4065,-124.2243,289.91,100,100,2.06,US,1691589111
324,huaicheng,23.9051,112.1931,300.81,81,82,0.67,CN,1691589111
325,kayyerkan,69.3786,87.7439,294.43,52,74,4.68,RU,1691589112
326,coquimbo,-29.9533,-71.3436,286.0,87,0,0.0,CL,1691589007
327,vuktyl,63.8567,57.3094,295.43,45,23,3.44,RU,1691589112
328,rye,40.9807,-73.6837,299.25,67,20,6.69,US,1691589112
329,ghadamis,30.1337,9.5007,311.91,15,0,5.43,LY,1691589112
330,holualoa,19.6228,-155.9522,297.06,77,20,2.24,US,1691588822
331,luganville,-15.5333,167.1667,294.03,94,100,4.22,VU,1691589113
332,kargasok,59.0556,80.8572,290.77,68,91,3.46,RU,1691589113
333,hirara,24.8,125.2833,301.3,89,75,2.06,JP,1691589113
334,saldanha,-33.0117,17.9442,298.18,68,0,4.77,ZA,1691589113
335,castillos,-34.1667,-53.8333,288.95,72,100,6.42,UY,1691589113
336,borogontsy,62.6683,131.1683,287.18,69,100,2.41,RU,1691589113
337,sandnessjoen,66.0217,12.6316,295.21,33,20,5.66,NO,1691589114
338,gisborne,-38.6533,178.0042,278.58,83,36,3.64,NZ,1691589114
339,cabo san lucas,22.8909,-109.9124,303.99,70,0,12.35,MX,1691589028
340,khedbrahma,24.0333,73.05,300.38,78,100,2.96,IN,1691589114
341,vilyuysk,63.7553,121.6247,290.37,50,0,3.86,RU,1691589114
342,marka,1.7159,44.7717,298.63,77,6,8.03,SO,1691589114
343,valparaiso,-33.0393,-71.6273,288.15,86,100,2.57,CL,1691589023
344,juan de ayolas,-27.4,-56.9,290.47,93,100,1.08,PY,1691589115
345,qarqaraly,49.4058,75.4742,294.34,62,59,2.52,KZ,1691589115
346,kill devil hills,36.0307,-75.676,300.92,68,0,3.09,US,1691589115
347,gafanha da nazare,40.6362,-8.7134,302.05,61,69,4.38,PT,1691589115
348,selkirk,50.1436,-96.8845,289.88,79,7,5.05,CA,1691589013
349,port macquarie,-31.4333,152.9167,280.87,92,7,2.8,AU,1691589115
350,chiroqchi,39.0336,66.5722,306.56,17,0,5.16,UZ,1691589116
351,bissora,12.2231,-15.4475,304.19,58,100,1.54,GW,1691589116
352,magdagachi,53.45,125.8,289.53,80,95,1.05,RU,1691589116
353,el nido,11.1858,119.3956,300.9,83,33,5.23,PH,1691589116
354,vila franca do campo,37.7167,-25.4333,297.38,85,89,8.29,PT,1691589116
355,broken hill,-31.95,141.4333,286.07,43,0,7.04,AU,1691589117
356,pasil,17.3833,121.1333,293.48,94,100,1.98,PH,1691589117
357,san patricio,28.017,-97.5169,303.25,66,2,7.7,US,1691589117
358,labrador city,52.9463,-66.9114,284.1,93,100,2.57,CA,1691589118
359,kungsbacka,57.4872,12.0761,287.69,85,100,8.94,SE,1691589118
360,shache,38.4167,77.2406,305.32,18,95,3.65,CN,1691589118
